,experimentVariant,hits
931,Контрольная,36
932,Контрольная,59
933,Контрольная,31
934,Контрольная,31
935,Контрольная,54
936,Контрольная,34
937,Контрольная,34
938,Контрольная,40
939,Контрольная,37
940,Контрольная,29
941,Контрольная,63
942,Контрольная,50
943,Контрольная,38
944,Контрольная,49
945,Контрольная,32
946,Контрольная,40
947,Контрольная,59
948,Контрольная,42
949,Контрольная,35
950,Контрольная,40
951,Контрольная,55
952,Контрольная,37
953,Контрольная,83
954,Контрольная,42
955,Контрольная,28
956,Контрольная,59
957,Контрольная,40
958,Контрольная,27
959,Контрольная,31
960,Контрольная,27
961,Контрольная,42
962,Контрольная,98
963,Контрольная,27
964,Контрольная,105
965,Контрольная,30
966,Контрольная,35
967,Контрольная,44
968,Контрольная,47
969,Контрольная,44
970,Контрольная,35
971,Контрольная,55
972,Контрольная,32
973,Контрольная,80
974,Контрольная,44
975,Контрольная,26
976,Контрольная,89
977,Контрольная,100
978,Контрольная,56
979,Контрольная,30
980,Контрольная,81
981,Контрольная,37
982,Контрольная,28
983,Контрольная,29
984,Контрольная,32
985,Контрольная,83
986,Контрольная,29
987,Контрольная,36
988,Контрольная,28
989,Контрольная,35
990,Контрольная,50
991,Контрольная,57
992,Контрольная,36
993,Контрольная,26
994,Контрольная,27
995,Контрольная,38
996,Контрольная,54
997,Контрольная,55
998,Контрольная,32
999,Контрольная,41
1000,Контрольная,28
1001,Контрольная,65
1002,Контрольная,36
1003,Контрольная,29
1004,Контрольная,51
1005,Контрольная,28
1006,Контрольная,67
1007,Контрольная,26
1008,Контрольная,62
1009,Контрольная,31
1010,Контрольная,61
1011,Контрольная,48
1012,Контрольная,26
1013,Контрольная,26
1014,Контрольная,32
1015,Контрольная,33
1016,Контрольная,29
1017,Контрольная,32
1018,Контрольная,41
1019,Контрольная,82
1020,Контрольная,56
1021,Контрольная,33
1022,Контрольная,43
1023,Контрольная,57
1024,Контрольная,54
1025,Контрольная,48
1026,Контрольная,39
1027,Контрольная,133
1028,Контрольная,42
1029,Контрольная,36
1030,Контрольная,86
1031,Контрольная,46
1032,Контрольная,29
1033,Контрольная,53
1034,Контрольная,43
1035,Контрольная,67
1036,Контрольная,58
1037,Контрольная,33
